ID,brand,Origin of brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,seats,selling_price
121,Mercedes-Benz,European,3,36000,Dealer,Diesel,Automatic,17.9,2143,5,5400000
122,BMW,European,1,15000,Dealer,Diesel,Automatic,18.59,2993,5,5400000
123,BMW,European,5,56000,Dealer,Diesel,Automatic,16.46,2993,5,5385000
124,Mercedes-Benz,European,5,71000,Dealer,Diesel,Automatic,11,2987,7,5375000
125,Lexus,Asian,2,14000,Dealer,Petrol,Automatic,22.37,2487,5,5375000
126,BMW,European,4,5200,Dealer,Diesel,Automatic,22.48,1995,5,5350000
127,BMW,European,4,20000,Individual,Diesel,Automatic,18.59,2993,5,5350000
128,BMW,European,2,4000,Dealer,Diesel,Automatic,18.12,1995,5,5295000
129,Mercedes-Benz,European,2,11000,Dealer,Diesel,Automatic,16.1,1950,5,5275000
130,BMW,European,3,12500,Individual,Petrol,Automatic,14.28,1998,4,5200000
131,Bentley,European,9,37500,Dealer,Petrol,Automatic,6,5998,5,5200000
132,Mercedes-Benz,European,7,41700,Dealer,Petrol,Automatic,7.81,5461,5,5200000
133,BMW,European,3,23000,Dealer,Diesel,Automatic,18.59,2993,5,5150000
134,Mercedes-Benz,European,3,20000,Dealer,Diesel,Automatic,17.9,2143,5,5100000
135,Mercedes-AMG,European,4,24000,Dealer,Petrol,Automatic,11.9,2996,5,5100000
136,Jaguar,European,5,33000,Dealer,Petrol,Automatic,9.43,1999,5,5100000
137,Mercedes-Benz,European,5,37000,Dealer,Diesel,Automatic,11.57,2987,5,5100000
138,BMW,European,2,8100,Dealer,Diesel,Automatic,18.12,1995,5,5005000
139,BMW,European,2,17226,Dealer,Petrol,Automatic,14.28,1998,4,5000000
140,Land Rover,European,6,40000,Individual,Diesel,Automatic,12.97,2179,5,5000000
141,Mercedes-Benz,European,4,55000,Dealer,Diesel,Automatic,11.57,2987,5,5000000
142,Porsche,European,8,120000,Individual,Diesel,Automatic,15.15,2967,5,5000000
143,Jaguar,European,5,33000,Dealer,Diesel,Automatic,10.5,2993,4,5000000
144,Jaguar,European,2,30000,Dealer,Petrol,Automatic,14.38,1997,5,5000000
145,Mercedes-Benz,European,3,25000,Individual,Diesel,Automatic,16.1,1950,5,5000000
146,BMW,European,2,9000,Dealer,Diesel,Automatic,22.48,1995,5,5000000
147,Jaguar,European,5,33000,Dealer,Diesel,Automatic,10.5,2993,4,5000000
148,BMW,European,5,15000,Individual,Diesel,Automatic,15.97,2993,5,5000000
149,BMW,European,2,10500,Dealer,Diesel,Automatic,22.48,1995,5,5000000
150,BMW,European,6,24501,Dealer,Diesel,Automatic,16.46,2993,5,4990000
151,BMW,European,2,9850,Dealer,Diesel,Automatic,16.78,1995,5,4960000
152,BMW,European,2,9500,Dealer,Diesel,Automatic,16.78,1995,5,4950000
153,Mercedes-Benz,European,3,10000,Dealer,Diesel,Automatic,17.9,2143,5,4950000
154,Mercedes-Benz,European,5,10000,Dealer,Diesel,Automatic,19.4,2143,4,4900000
155,BMW,European,2,12000,Dealer,Diesel,Automatic,22.48,1995,5,4900000
156,Land Rover,European,8,51000,Dealer,Diesel,Automatic,12.7,2179,5,4900000
157,Jeep,American,4,40000,Dealer,Petrol,Automatic,9.5,3604,5,4875000
158,Porsche,European,7,33000,Dealer,Diesel,Automatic,17.85,2967,4,4875000
159,BMW,European,0,2000,Dealer,Diesel,Automatic,22.48,1995,5,4850000
160,BMW,European,0,2000,Dealer,Diesel,Automatic,22.48,1995,5,4850000
161,Audi,European,5,40182,Dealer,Diesel,Automatic,14.75,2967,7,4800000
162,Mercedes-Benz,European,2,4000,Dealer,Petrol,Automatic,11.5,1991,5,4800000
163,BMW,European,5,17000,Dealer,Petrol,Automatic,10.37,2979,2,4800000
164,BMW,European,3,7000,Dealer,Diesel,Automatic,22.48,1995,5,4750000
165,Volvo,European,3,18000,Dealer,Diesel,Automatic,18,1969,5,4750000
166,Land Rover,European,2,4000,Dealer,Diesel,Automatic,12.83,2179,7,4750000
167,Lexus,Asian,4,24000,Dealer,Petrol,Automatic,22.37,2487,5,4700000
168,Audi,European,4,71000,Dealer,Diesel,Automatic,12.07,2967,7,4700000
169,Mercedes-Benz,European,4,28000,Dealer,Diesel,Automatic,17.9,2143,5,4700000
170,BMW,European,7,38000,Dealer,Diesel,Automatic,17.66,2993,4,4700000
171,Mercedes-Benz,European,5,40000,Dealer,Diesel,Automatic,11.3,2987,7,4700000
172,Audi,European,1,19000,Dealer,Diesel,Automatic,17.01,1968,5,4675000
173,Mercedes-Benz,European,5,61000,Dealer,Diesel,Automatic,12,2987,7,4660000
174,BMW,European,3,43000,Dealer,Diesel,Automatic,18.59,2993,5,4650000
175,Land Rover,European,4,35000,Dealer,Diesel,Automatic,12.51,2179,7,4650000
176,Audi,European,1,3000,Dealer,Petrol,Automatic,17.01,1984,5,4600000
177,Jaguar,European,5,34000,Dealer,Diesel,Automatic,16.38,1999,5,4600000
178,Mercedes-Benz,European,7,20000,Individual,Diesel,Automatic,13.5,2987,5,4600000
179,Audi,European,3,31000,Dealer,Diesel,Automatic,19.2,1968,5,4600000
180,BMW,European,5,32143,Dealer,Diesel,Automatic,15.97,2993,5,4599000
181,Audi,European,3,5333,Dealer,Petrol,Automatic,13.53,1984,5,4595000
182,Mercedes-Benz,European,3,12000,Dealer,Diesel,Automatic,17.9,2143,5,4590000
183,BMW,European,3,20000,Dealer,Petrol,Automatic,14.28,1998,4,4575000
184,Jaguar,European,2,14000,Dealer,Diesel,Automatic,19.33,1999,5,4550000
185,Mercedes-Benz,European,6,56000,Dealer,Diesel,Automatic,13.5,2987,5,4500000
186,Mercedes-Benz,European,3,15200,Dealer,Diesel,Automatic,16.1,1950,5,4500000
187,Porsche,European,7,110000,Dealer,Diesel,Automatic,15.15,2967,5,4500000
188,Jaguar,European,6,58000,Dealer,Diesel,Automatic,12.9,2993,5,4500000
189,Audi,European,5,66000,Individual,Diesel,Automatic,14.16,1968,5,4500000
190,Mercedes-Benz,European,5,79090,Dealer,Diesel,Automatic,11.3,2987,7,4500000
191,BMW,European,2,10000,Individual,Diesel,Automatic,22.69,1995,5,4500000
192,Lexus,Asian,3,44000,Dealer,Petrol,Automatic,18.32,2499,5,4500000
193,BMW,European,2,18000,Dealer,Diesel,Automatic,22.48,1995,5,4500000
194,Mercedes-Benz,European,4,26000,Dealer,Diesel,Automatic,17.9,2143,5,4500000
195,Volvo,European,2,25000,Dealer,Diesel,Automatic,18,1969,5,4500000
196,Land Rover,European,2,18100,Dealer,Diesel,Automatic,12.83,2179,7,4500000
197,Land Rover,European,3,18000,Dealer,Diesel,Automatic,18,2993,7,4500000
198,Mercedes-Benz,European,5,60696,Dealer,Diesel,Automatic,11.3,2987,7,4500000
199,BMW,European,5,48000,Dealer,Diesel,Automatic,15.97,2993,5,4495000
200,BMW,European,6,25000,Dealer,Diesel,Automatic,9.52,2993,4,4490000
201,BMW,European,3,45000,Dealer,Diesel,Automatic,15.97,2993,5,4485000
202,Audi,European,4,9000,Dealer,Diesel,Automatic,19.2,1968,5,4470000
203,Mercedes-Benz,European,3,22000,Dealer,Diesel,Automatic,10,2148,5,4450000
204,Audi,European,6,55000,Dealer,Diesel,Automatic,16.77,2967,4,4450000
205,Mercedes-Benz,European,3,25550,Dealer,Diesel,Automatic,10,2148,5,4450000
206,Mercedes-Benz,European,3,25000,Dealer,Diesel,Automatic,10,2148,5,4450000
207,BMW,European,3,22000,Dealer,Diesel,Automatic,22.48,1995,5,4400000
208,Mercedes-Benz,European,6,53000,Dealer,Diesel,Automatic,11.3,2987,7,4400000
209,Toyota,Asian,10,120000,Dealer,Diesel,Automatic,8,4461,8,4399000
210,Mercedes-Benz,European,4,76900,Dealer,Diesel,Automatic,11.57,2987,5,4375000
211,Volvo,European,6,80000,Individual,Diesel,Automatic,17.2,1969,7,4350000
212,Land Rover,European,4,45000,Dealer,Diesel,Automatic,15.68,1999,5,4350000
213,Jaguar,European,6,25000,Dealer,Diesel,Automatic,10.5,2993,4,4325000
214,Jaguar,European,5,22000,Dealer,Diesel,Automatic,16.38,1999,5,4300000
215,Audi,European,3,21000,Dealer,Diesel,Automatic,19.2,1968,5,4300000
216,Audi,European,4,14800,Dealer,Diesel,Automatic,19.2,1968,5,4300000
217,BMW,European,2,2000,Dealer,Diesel,Automatic,19.59,1995,5,4300000
218,Mercedes-Benz,European,5,35000,Individual,Diesel,Automatic,11.3,2987,7,4300000
219,Jaguar,European,6,23000,Dealer,Diesel,Automatic,14.47,2993,5,4300000
220,Mercedes-Benz,European,5,50000,Dealer,Diesel,Automatic,17.9,2143,5,4300000
221,Mercedes-Benz,European,5,50000,Dealer,Diesel,Automatic,17.9,2143,5,4275000
222,Audi,European,4,9000,Dealer,Diesel,Automatic,19.2,1968,5,4270000
223,Mercedes-Benz,European,5,50000,Dealer,Diesel,Automatic,11.3,2987,7,4255000
224,Jaguar,European,7,25000,Dealer,Diesel,Automatic,10.5,2993,4,4250000
225,BMW,European,3,36000,Dealer,Diesel,Automatic,22.48,1995,5,4200000
226,Porsche,European,9,87000,Dealer,Diesel,Automatic,15.15,2967,5,4200000
227,Audi,European,2,10950,Individual,Diesel,Automatic,18.25,1968,5,4200000
228,Mercedes-Benz,European,7,8000,Dealer,Petrol,Automatic,9.26,3498,4,4200000
229,Mercedes-Benz,European,6,24000,Dealer,Diesel,Automatic,15.8,2143,5,4200000
230,BMW,European,4,44000,Dealer,Diesel,Automatic,22.48,1995,5,4200000
231,BMW,European,5,40000,Dealer,Diesel,Automatic,15.97,2993,5,4200000
232,Audi,European,12,28000,Dealer,Petrol,Automatic,8.5,4163,2,4200000
233,Audi,European,4,25000,Dealer,Diesel,Automatic,19.2,1968,5,4175000
234,BMW,European,4,12500,Dealer,Diesel,Automatic,22.48,1995,5,4175000
235,Mercedes-Benz,European,4,26000,Dealer,Petrol,Automatic,12,1991,5,4150000
236,Mercedes-Benz,European,4,26000,Dealer,Petrol,Automatic,12,1991,5,4150000
237,BMW,European,5,47270,Dealer,Diesel,Automatic,15.97,2993,5,4150000
238,Lexus,Asian,4,34000,Dealer,Petrol,Automatic,22.37,2487,5,4100000
239,Mercedes-Benz,European,5,70000,Dealer,Diesel,Automatic,12,2987,7,4100000
240,BMW,European,8,30000,Dealer,Diesel,Automatic,9.52,2993,4,4100000
241,Lexus,Asian,4,33000,Dealer,Petrol,Automatic,22.37,2487,5,4100000
242,Mercedes-Benz,European,5,4800,Dealer,Diesel,Automatic,19.4,2143,4,4100000
243,Land Rover,European,3,37500,Dealer,Diesel,Automatic,12.51,2179,7,4100000
244,Mercedes-Benz,European,4,41000,Dealer,Diesel,Automatic,16.1,1950,5,4100000
245,Lexus,Asian,4,33000,Dealer,Petrol,Automatic,22.37,2487,5,4100000
246,Volvo,European,5,85000,Dealer,Diesel,Automatic,17.2,1969,7,4100000
247,Mercedes-Benz,European,4,24000,Dealer,Petrol,Automatic,15,1991,5,4100000
248,Volvo,European,5,90300,Dealer,Diesel,Manual,11.1,2400,7,4050000
249,Audi,European,3,8000,Dealer,Petrol,Automatic,16.6,1798,4,4000000
250,Land Rover,European,2,12000,Dealer,Diesel,Automatic,12.63,2179,5,4000000
251,BMW,European,4,30000,Individual,Petrol,Automatic,15.34,1998,5,4000000
252,Jaguar,European,4,36000,Individual,Diesel,Automatic,19.33,1999,5,4000000
253,BMW,European,8,100000,Dealer,Petrol,Automatic,10,4999,4,4000000
254,BMW,European,6,75000,Dealer,Diesel,Automatic,13.38,2993,5,4000000
255,BMW,European,8,24000,Dealer,Diesel,Automatic,9.52,2993,4,4000000
256,Mercedes-Benz,European,1,10000,Dealer,Diesel,Automatic,12.6,1950,5,4000000
257,BMW,European,3,23000,Dealer,Diesel,Automatic,22.48,1995,5,4000000
258,Land Rover,European,9,158648,Dealer,Diesel,Automatic,11.49,4367,5,4000000
259,Mercedes-Benz,European,4,59000,Dealer,Diesel,Automatic,17.9,2143,5,4000000
260,BMW,European,3,10002,Dealer,Diesel,Automatic,22.48,1995,5,4000000
261,Mercedes-Benz,European,5,29000,Dealer,Diesel,Automatic,17.9,2143,5,3999000
262,BMW,European,6,27000,Dealer,Petrol,Automatic,10.37,2979,2,3999000
263,BMW,European,7,39000,Dealer,Diesel,Automatic,15.3,2993,5,3995000
264,Mercedes-Benz,European,4,35000,Dealer,Petrol,Automatic,12,1991,5,3995000
265,BMW,European,3,55000,Dealer,Diesel,Automatic,22.48,1995,5,3990000
266,Mercedes-Benz,European,4,48000,Dealer,Petrol,Automatic,12,1991,5,3990000
267,Land Rover,European,3,38000,Dealer,Diesel,Automatic,18,2993,7,3990000
268,Lexus,Asian,3,28000,Dealer,Petrol,Automatic,22.37,2487,5,3990000
269,BMW,European,5,36799,Dealer,Diesel,Automatic,18.56,1995,5,3985000
270,Land Rover,European,3,38000,Dealer,Diesel,Automatic,18,2993,7,3980000
271,Mercedes-Benz,European,4,49000,Dealer,Diesel,Automatic,10,2148,5,3975000
272,BMW,European,4,30000,Dealer,Diesel,Automatic,22.48,1995,5,3975000
273,Mercedes-Benz,European,2,9000,Dealer,Diesel,Automatic,19.27,2143,5,3950000
274,BMW,European,3,65000,Dealer,Diesel,Automatic,22.48,1995,5,3950000
275,Land Rover,European,5,62000,Dealer,Diesel,Automatic,12.7,2179,5,3950000
276,Mercedes-Benz,European,5,68400,Dealer,Diesel,Automatic,17.9,2143,5,3950000
277,Mercedes-Benz,European,4,35000,Dealer,Petrol,Automatic,12,1991,5,3945000
278,BMW,European,4,31000,Dealer,Diesel,Automatic,18.12,1995,5,3945000
279,BMW,European,4,45000,Dealer,Diesel,Automatic,22.48,1995,5,3915000
280,Mercedes-Benz,European,5,14000,Individual,Diesel,Automatic,16.1,1950,5,3900000
281,BMW,European,6,60000,Dealer,Diesel,Automatic,14.49,2993,5,3900000
282,BMW,European,6,28000,Dealer,Diesel,Automatic,14.69,2993,5,3900000
283,BMW,European,4,49000,Dealer,Diesel,Automatic,16.55,2993,5,3900000
284,Porsche,European,7,60000,Dealer,Diesel,Automatic,14.28,4134,5,3900000
285,BMW,European,3,12000,Dealer,Diesel,Automatic,22.48,1995,5,3900000
286,Mercedes-Benz,European,4,83000,Dealer,Diesel,Automatic,17.9,2143,5,3900000
287,Mercedes-Benz,European,5,30000,Dealer,Diesel,Automatic,17.9,2143,5,3899000
288,Jaguar,European,6,60000,Dealer,Petrol,Automatic,9.4,1999,5,3890000
289,Mercedes-Benz,European,5,55000,Dealer,Diesel,Automatic,17.9,2143,5,3890000
290,Skoda,European,2,4000,Dealer,Diesel,Automatic,16.25,1968,7,3890000
291,Mini,European,3,22000,Dealer,Petrol,Automatic,17.33,1998,4,3875000
292,Mercedes-Benz,European,5,48500,Dealer,Diesel,Automatic,17.9,2143,5,3850000
293,Mercedes-Benz,European,5,32000,Dealer,Diesel,Automatic,17.9,2143,5,3850000
294,Mercedes-Benz,European,5,46003,Dealer,Diesel,Automatic,17.9,2143,5,3850000
295,BMW,European,5,46000,Dealer,Diesel,Automatic,15.97,2993,5,3850000
296,Volvo,European,4,40000,Dealer,Diesel,Automatic,18,1969,5,3850000
297,Mercedes-Benz,European,5,57000,Dealer,Diesel,Automatic,17.9,2143,5,3850000
298,Skoda,European,2,3800,Dealer,Diesel,Automatic,16.25,1968,7,3850000
299,Skoda,European,2,3000,Dealer,Diesel,Automatic,16.25,1968,7,3850000
300,Mercedes-Benz,European,2,7000,Dealer,Diesel,Automatic,19.27,2143,5,3800000
301,Mercedes-Benz,European,5,30000,Dealer,Petrol,Automatic,11.5,1991,5,3800000
302,Porsche,European,11,25000,Dealer,Petrol,Automatic,7.5,4806,4,3800000
303,Land Rover,European,4,60000,Individual,Diesel,Automatic,12.83,2179,7,3800000
304,Jaguar,European,2,25000,Individual,Diesel,Automatic,13.6,1999,5,3800000
305,Mercedes-Benz,European,5,49500,Dealer,Diesel,Automatic,17.9,2143,5,3800000
306,Skoda,European,2,3800,Dealer,Diesel,Automatic,16.25,1968,7,3800000
307,BMW,European,5,24000,Dealer,Diesel,Automatic,18.12,1995,5,3800000
308,Mercedes-Benz,European,2,24300,Dealer,Petrol,Automatic,11.9,1950,5,3775000
309,Skoda,European,2,3800,Dealer,Diesel,Automatic,16.25,1968,7,3775000
310,Mercedes-Benz,European,4,48000,Dealer,Diesel,Automatic,16.1,1950,5,3750000
311,Mercedes-Benz,European,5,46500,Dealer,Diesel,Automatic,17.9,2143,5,3750000
312,Mercedes-Benz,European,4,48000,Dealer,Diesel,Automatic,16.1,1950,5,3750000
313,BMW,European,5,35000,Individual,Diesel,Automatic,18.12,1995,5,3750000
314,BMW,European,4,40000,Individual,Diesel,Automatic,18.56,1995,5,3750000
315,Mercedes-Benz,European,6,115000,Dealer,Diesel,Automatic,11.3,2987,7,3700000
316,BMW,European,3,34000,Dealer,Diesel,Automatic,22.48,1995,5,3700000
317,BMW,European,6,47500,Dealer,Diesel,Automatic,15.97,2993,5,3700000
318,BMW,European,3,63000,Dealer,Diesel,Automatic,22.48,1995,5,3700000
319,BMW,European,4,18000,Dealer,Diesel,Automatic,22.48,1995,5,3700000
320,Land Rover,European,6,56000,Dealer,Diesel,Automatic,12.7,2179,5,3700000
321,Mercedes-Benz,European,4,61000,Dealer,Diesel,Automatic,17.9,2143,5,3699000
322,Mercedes-Benz,European,5,111000,Dealer,Diesel,Automatic,11.57,2987,5,3695000
323,Audi,European,4,36000,Dealer,Diesel,Automatic,19.2,1968,5,3680000
